old_path,action,reason,size_mb,similarity
CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/4,REMOVE,Duplicate of CLIENT_PROJECTS/josephrosadomd/blog/4,0.390625,100.0%
CLIENT_PROJECTS/josephrosadomd/blog/3,REMOVE,Duplicate of CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/3,0.390625,99.0%
CLIENT_PROJECTS/josephrosadomd/blog/2,REMOVE,Duplicate of CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/2,0.390625,96.0%
CLIENT_PROJECTS/josephrosadomd/blog/3,MERGE_REMOVE,Similar to CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/3 (99.0% similar),0.390625,99.0%
CLIENT_PROJECTS/josephrosadomd/blog/2,MERGE_REMOVE,Similar to CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/2 (96.0% similar),0.390625,96.0%
CLIENT_PROJECTS/josephrosadomd/blog/4,MERGE_REMOVE,Similar to CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/4 (100.0% similar),0.390625,100.0%
CLIENT_PROJECTS/josephrosadomd/category/anxiety-depression/page/2,REMOVE,Duplicate of CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/2,0.38671875,96.0%
CLIENT_PROJECTS/josephrosadomd/category/anxiety-depression/page/2,MERGE_REMOVE,Similar to CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/2 (96.0% similar),0.38671875,96.0%
CLIENT_PROJECTS/josephrosadomd/category/health-tips/page/2,REMOVE,Duplicate of CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/2,0.37890625,96.0%
CLIENT_PROJECTS/josephrosadomd/category/medical-marijuana/page/2,REMOVE,Duplicate of CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/2,0.37890625,96.0%
CLIENT_PROJECTS/josephrosadomd/category/health-tips/page/2,MERGE_REMOVE,Similar to CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/2 (96.0% similar),0.37890625,96.0%
CLIENT_PROJECTS/josephrosadomd/category/medical-marijuana/page/2,MERGE_REMOVE,Similar to CLIENT_PROJECTS/josephrosadomd/category/ketamine/page/2 (96.0% similar),0.37890625,96.0%
DEVELOPMENT/dna-cold-case-ai/DNA_COLD_CASE_AI,REMOVE,Duplicate of DEVELOPMENT/dna-cold-case-ai,0.3671875,100.0%
DEVELOPMENT/dna-cold-case-ai/DNA_COLD_CASE_AI,MERGE_REMOVE,Similar to DEVELOPMENT/dna-cold-case-ai (100.0% similar),0.3671875,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/community-platforms,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/community-platforms (79.3% similar),0.11328125,79.3%
ai-sites/retention-products-suite/community-platforms,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/community-platforms (79.3% similar),0.11328125,79.3%
ai-sites/n8n/n8n_workflows,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/n8n/n8n_workflows (100.0% similar),0.1015625,100.0%
ai-sites/content-management/retention-hub,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/content-management/retention-hub (100.0% similar),0.09375,100.0%
BUSINESS/passive-income/passive-income-empire/ai-recipe-generator,REMOVE,Duplicate of ai-sites/passive-income-empire/ai-recipe-generator,0.08984375,100.0%
BUSINESS/projects/retention-suite-complete/community-platforms,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/community-platforms (79.3% similar),0.08984375,79.3%
BUSINESS/passive-income/passive-income-empire/ai-recipe-generator,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/IN-DEVELOPMENT/passive-income/ai-recipe-generator (100.0% similar),0.08984375,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/passive-income-empire/ai-recipe-generator,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/IN-DEVELOPMENT/passive-income/ai-recipe-generator (100.0% similar),0.08984375,100.0%
ai-sites/passive-income-empire/ai-recipe-generator,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/IN-DEVELOPMENT/passive-income/ai-recipe-generator (100.0% similar),0.08984375,100.0%
BUSINESS/passive-income/passive-income-empire/ai-receptionist,REMOVE,Duplicate of ai-sites/passive-income-empire/ai-receptionist,0.07421875,100.0%
BUSINESS/passive-income/passive-income-empire/ai-receptionist,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/IN-DEVELOPMENT/passive-income/ai-receptionist (100.0% similar),0.07421875,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/passive-income-empire/ai-receptionist,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/IN-DEVELOPMENT/passive-income/ai-receptionist (100.0% similar),0.07421875,100.0%
ai-sites/passive-income-empire/ai-receptionist,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/IN-DEVELOPMENT/passive-income/ai-receptionist (100.0% similar),0.07421875,100.0%
ai-sites/environments,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/environments (100.0% similar),0.0625,100.0%
BUSINESS/passive-income/passive-income-empire/databases,REMOVE,Duplicate of ai-sites/passive-income-empire/databases,0.05859375,100.0%
BUSINESS/passive-income/passive-income-empire/databases,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/IN-DEVELOPMENT/passive-income/databases (100.0% similar),0.05859375,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/passive-income-empire/databases,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/IN-DEVELOPMENT/passive-income/databases (100.0% similar),0.05859375,100.0%
ai-sites/passive-income-empire/databases,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/IN-DEVELOPMENT/passive-income/databases (100.0% similar),0.05859375,100.0%
ai-sites/10k-web,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/10k-web (100.0% similar),0.046875,100.0%
ai-sites/seo-optimized-content,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/seo-optimized-content (100.0% similar),0.04296875,100.0%
ai-sites/automation/api-powered,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/automation/api-powered (100.0% similar),0.04296875,100.0%
ai-sites/ORGANIZED/css_files,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/ORGANIZED/css_files (100.0% similar),0.03515625,100.0%
ai-sites/Unified Creative Automation Workspace - Professional Analysis,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/Unified Creative Automation Workspace - Professional Analysis (100.0% similar),0.03125,100.0%
ai-sites/content-management/retention-hub/digital-dive,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/content-management/retention-hub/digital-dive (100.0% similar),0.02734375,100.0%
ai-sites/automation/cross-pollination,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/automation/cross-pollination (100.0% similar),0.02734375,100.0%
ai-sites/n8n/n8n-macos-docker-starter/mac,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/n8n/n8n-macos-docker-starter/mac (100.0% similar),0.0234375,100.0%
ai-sites/n8n/n8n-docker-starter,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/n8n/n8n-docker-starter (100.0% similar),0.0234375,100.0%
ai-sites/gptjunkie_quantumforgelabs_landings,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/gptjunkie_quantumforgelabs_landings (100.0% similar),0.0234375,100.0%
ai-sites/Song Lyrics Visual Storytelling Framework,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/Song Lyrics Visual Storytelling Framework (100.0% similar),0.0234375,100.0%
ai-sites/setup-script,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/setup-script (100.0% similar),0.0234375,100.0%
BUSINESS/agency/creative-ai-agency/core/client_management,REMOVE,Duplicate of ai-sites/creative-ai-agency/core/client_management,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_011,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_011,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_portfolio_008,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_portfolio_008,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_landing_010,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_landing_010,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/print_templates_flyers_002,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_flyers_002,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_blog_002,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_002,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_014,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_014,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_001,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_001,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_blog_006,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_006,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/print_templates_business_cards_001,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_business_cards_001,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/email_templates_newsletter_005,REMOVE,Duplicate of ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_newsletter_005,0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_011,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_011 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_011,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_011 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_011,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_011 (100.0% similar),0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_portfolio_008,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_portfolio_008 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_portfolio_008,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_portfolio_008 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_portfolio_008,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_portfolio_008 (100.0% similar),0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_landing_010,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_landing_010 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_landing_010,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_landing_010 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_landing_010,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_landing_010 (100.0% similar),0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/print_templates_flyers_002,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/print_templates_flyers_002 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_flyers_002,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/print_templates_flyers_002 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_flyers_002,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/print_templates_flyers_002 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/social_media_templates_linkedin_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/social_media_templates_linkedin_001 (80.0% similar),0.01953125,80.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/social_media_templates_linkedin_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/social_media_templates_linkedin_001 (80.0% similar),0.01953125,80.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_blog_002,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_blog_002 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_002,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_blog_002 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_002,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_blog_002 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_003,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_003 (80.0% similar),0.01953125,80.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_003,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_003 (80.0% similar),0.01953125,80.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_004,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_blog_004 (80.0% similar),0.01953125,80.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_004,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_blog_004 (80.0% similar),0.01953125,80.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_promotional_003,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/email_templates_promotional_003 (80.0% similar),0.01953125,80.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_promotional_003,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/email_templates_promotional_003 (80.0% similar),0.01953125,80.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_014,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_014 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_014,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_014 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_014,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_014 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_portfolio_005,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_portfolio_005 (80.0% similar),0.01953125,80.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_portfolio_005,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_portfolio_005 (80.0% similar),0.01953125,80.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_business_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_001 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_001 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_business_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_business_001 (100.0% similar),0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/website_templates_blog_006,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_blog_006 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_006,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_blog_006 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/website_templates_blog_006,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/website_templates_blog_006 (100.0% similar),0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/print_templates_business_cards_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/print_templates_business_cards_001 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_business_cards_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/print_templates_business_cards_001 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_business_cards_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/print_templates_business_cards_001 (100.0% similar),0.01953125,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/email_templates_newsletter_005,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/email_templates_newsletter_005 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_newsletter_005,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/email_templates_newsletter_005 (100.0% similar),0.01953125,100.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_newsletter_005,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/email_templates_newsletter_005 (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_followup_002,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/email_templates_followup_002 (80.0% similar),0.01953125,80.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_followup_002,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/email_templates_followup_002 (80.0% similar),0.01953125,80.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_welcome_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/email_templates_welcome_001 (80.0% similar),0.01953125,80.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/email_templates_welcome_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/email_templates_welcome_001 (80.0% similar),0.01953125,80.0%
CONTENT_ASSETS/ai-sites/ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_posters_003,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/print_templates_posters_003 (80.0% similar),0.01953125,80.0%
ai-sites/retention-products-suite/templates-marketplace/generated_templates/print_templates_posters_003,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/print_templates_posters_003 (80.0% similar),0.01953125,80.0%
CONTENT_ASSETS/ai-sites/ai-sites/creative-ai-education/core/course_generator,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/education/core/course_generator (100.0% similar),0.01953125,100.0%
ai-sites/creative-ai-education/core/course_generator,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/education/core/course_generator (100.0% similar),0.01953125,100.0%
CONTENT_ASSETS/ai-sites/ai-sites/creative-ai-agency/core/client_management,MERGE_REMOVE,Similar to BUSINESS/agency/creative-ai-agency/core/client_management (100.0% similar),0.01953125,100.0%
ai-sites/creative-ai-agency/core/client_management,MERGE_REMOVE,Similar to BUSINESS/agency/creative-ai-agency/core/client_management (100.0% similar),0.01953125,100.0%
ai-sites/disco/mp3/Willow_whispers-322,MERGE_REMOVE,Similar to CONTENT_ASSETS/ai-sites/ai-sites/disco/mp3/Willow_whispers-322 (100.0% similar),0.01953125,100.0%
ai-sites/passive-income-empire/marketing/onpage,REMOVE,Duplicate of ai-sites/marketing/onpage,0.015625,100.0%
BUSINESS/passive-income/passive-income-empire/marketing/onpage,REMOVE,Duplicate of ai-sites/marketing/onpage,0.015625,100.0%
BUSINESS/marketplace/creative-ai-marketplace/core/nft_generator,REMOVE,Duplicate of ai-sites/creative-ai-marketplace/core/nft_generator,0.015625,100.0%
BUSINESS/projects/retention-suite-complete/templates-marketplace/generated_templates/social_media_templates_linkedin_001,MERGE_REMOVE,Similar to ARCHIVES_BACKUPS/archive/system/advanced-systems/SITES-AND-PROJECTS/READY-TO-LAUNCH/retention-suite/templates-marketplace/generated_templates/social_media_templates_linkedin_001 (80.0% similar),0.015625,80.0%
